codigo_comuna,comuna,sexo,anos_de_escolaridad_promedio_para_la_poblacion_de_18_anos_o_mas
10402,Futaleufú,Hombre,11.3
10402,Futaleufú,Mujer,11.9
10403,Hualaihué,Hombre,9.8
10403,Hualaihué,Mujer,10.3
10404,Palena,Hombre,10.1
10404,Palena,Mujer,10.9
11101,Coyhaique,Hombre,12
11101,Coyhaique,Mujer,12.1
11102,Lago Verde,Hombre,9.3
11102,Lago Verde,Mujer,9.9
11201,Aysén,Hombre,11.1
11201,Aysén,Mujer,11.4
11202,Cisnes,Hombre,10.7
11202,Cisnes,Mujer,11.2
11203,Guaitecas,Hombre,10.2
11203,Guaitecas,Mujer,10.6
11301,Cochrane,Hombre,11
11301,Cochrane,Mujer,11.5
11302,O'Higgins,Hombre,11
11302,O'Higgins,Mujer,12.2
11303,Tortel,Hombre,11.1
11303,Tortel,Mujer,11.9
11401,Chile Chico,Hombre,10.8
11401,Chile Chico,Mujer,11.2
11402,Río Ibáñez,Hombre,10.3
11402,Río Ibáñez,Mujer,10.8
12101,Punta Arenas,Hombre,12.6
12101,Punta Arenas,Mujer,12.5
12102,Laguna Blanca,Hombre,11.4
12102,Laguna Blanca,Mujer,13.3
12103,Río Verde,Hombre,9.3
12103,Río Verde,Mujer,11.3
12104,San Gregorio,Hombre,10.3
12104,San Gregorio,Mujer,12.3
12201,Cabo de Hornos,Hombre,13.6
12201,Cabo de Hornos,Mujer,13.7
12202,Antártica,Hombre,15.1
12202,Antártica,Mujer,14.3
12301,Porvenir,Hombre,11.5
12301,Porvenir,Mujer,11.9
12302,Primavera,Hombre,10.5
12302,Primavera,Mujer,11.5
12303,Timaukel,Hombre,11.5
12303,Timaukel,Mujer,13.8
12401,Natales,Hombre,11.6
12401,Natales,Mujer,11.9
12402,Torres del Paine,Hombre,11.5
12402,Torres del Paine,Mujer,13.5
